iso3c,iso2c,country,year,sp_ado_tfrt,sh_sta_brtc_zs,sl_fam_work_fe_zs,sl_fam_work_ma_zs,sl_emp_mpyr_fe_zs,sl_emp_mpyr_ma_zs,sl_agr_empl_fe_zs,sl_agr_empl_ma_zs,sl_ind_empl_fe_zs,sl_ind_empl_ma_zs,sl_srv_empl_fe_zs,sl_srv_empl_ma_zs,sl_emp_totl_sp_fe_zs,sl_emp_totl_sp_ma_zs,sl_emp_1524_sp_fe_zs,sl_emp_1524_sp_ma_zs,sp_dyn_tfrt_in,sl_tlf_cact_fe_zs,sl_tlf_cact_ma_zs,sl_tlf_totl_fe_zs,sp_dyn_le00_fe_in,sp_dyn_le00_ma_in,sh_mmr_risk_zs,sh_mmr_risk,sh_sta_mmrt,sh_sta_mmrt_ne,sp_dyn_amrt_fe,sp_dyn_amrt_ma,sh_hiv_1524_fe_zs,sh_hiv_1524_ma_zs,se_prm_cmpt_fe_zs,se_prm_cmpt_ma_zs,se_prm_enrl_fe_zs,se_prm_tchr_fe_zs,sg_gen_parl_zs,se_pre_enrr_fe,se_pre_enrr_ma,se_enr_prim_fm_zs,se_enr_prsc_fm_zs,se_prm_enrr_fe,se_prm_enrr_ma,se_enr_seco_fm_zs,se_sec_enrr_fe,se_sec_enrr_ma,se_sec_enrl_gc_fe_zs,se_sec_enrl_fe_zs,se_sec_tchr_fe_zs,sl_emp_self_fe_zs,sl_emp_self_ma_zs,sp_dyn_to65_fe_zs,sp_dyn_to65_ma_zs,sl_uem_totl_fe_zs,sl_uem_totl_ma_zs,sl_uem_1524_fe_zs,sl_uem_1524_ma_zs,sl_emp_vuln_fe_zs,sl_emp_vuln_ma_zs,sl_emp_work_fe_zs,sl_emp_work_ma_zs,sg_law_indx,sh_dyn_aids_fe_zs
VCT,VC,St. Vincent and the Grenadines,2018,54.48,NA,4.05837990342358,2.55444698940176,2.89186696326841,4.90702278815171,4.89392870706961,14.7831825769634,6.75492376973577,29.678947164098,88.3511475231946,55.5378702589386,46.862,61.705,20.315,36.822,1.9,56.362,77.594,40.6294103630932,74.166,68.471,0.0967392219581694,1034,56,0,138.45,224.12,0.4,0.2,123.328956604004,109.259262084961,49.34839,83.969465648855,13.0434782608696,111.654586791992,109.587379455566,0.988439977169037,1.00522005558014,115.889678955078,114.449577331543,1.02645003795624,NA,NA,48.91925,48.91925,68.1753889674682,23.0806792903261,28.2114988935906,79.045506,67.398874,16.854,20.477,42.511,42.85,20.1888123270577,23.3005939671571,76.9138950680918,71.7885011064094,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2019,53.182,NA,4.11618347035915,2.57727914639887,2.85590653396798,4.85250274595952,4.75984422327997,14.4947434489252,6.64755517092168,29.6249803860035,88.5926006057984,55.884198964381,47.143,61.354,19.764,36.201,1.864,56.844,77.427,40.9316245593419,73.993,68.554,0.0973000882770599,1028,58,0,137.051,225.314,0.3,0.2,NA,NA,NA,85.414364640884,13.0434782608696,119.747138977051,116.055320739746,0.966477394104004,NA,NA,NA,NA,NA,NA,NA,NA,68.8202247191011,23.2366940718304,28.2676918248862,79.114202,67.179638,17.067,20.759,43.429,43.665,20.3753786239723,23.4191118782363,76.7633059281696,71.7323081751138,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2020,50.299,NA,4.40213167536361,2.85854295981705,2.83113134228933,4.67575955570075,4.89064061285667,14.7582489382555,6.77806150771622,29.5409996733094,88.3312978794271,55.7007513884352,45.986,59.25,17.805,33.072,1.83,56.109,76.393,41.0426858871419,74.459,66.055,0.0940328155779209,1063,57,77.2,125.564,236.689,0.3,0.2,NA,NA,NA,86.2513426423201,18.1818181818182,113.177337646484,114.478530883789,0.979326725006104,NA,NA,NA,NA,NA,NA,NA,NA,67.7545691906005,23.748195847674,28.8263639333551,80.230099,64.840425,18.043,22.44,48.049,47.538,20.9226157433108,24.1506043776543,76.251804152326,71.1736360666449,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2021,44.54,NA,4.17264598741583,2.72367185266855,2.78728336460978,4.65923475846298,4.91776134231151,14.3166319572053,6.63980571807043,30.3074849932623,88.4479523126173,55.3717995834865,46.336,59.677,18.635,34.128,1.808,56.463,76.565,41.2696039030226,72.83,66.156,0.169507580942153,590,105,76.7,165.965,263.839,0.3,0.2,NA,NA,NA,87.1848739495798,18.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.2102628285357,23.5401258417044,28.7067663032382,76.13358,62.434178,17.935,22.057,46.207,45.956,20.7473231040953,24.0434480787292,76.4598741582956,71.2932336967618,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2022,43.553,NA,4.20231369383912,2.68998793727382,2.81947807371536,4.55166867712103,4.81571159537261,13.7917169280257,6.70433145009416,31.2062726176116,88.4745762711865,55.0060313630881,47.712,61.046,20.236,35.851,1.791,57.595,77.068,41.6751806512734,74.288,68.628,0.089414464603955,1118,56,77.3,137.251,221.43,0.3,0.2,NA,NA,NA,87.2427983539095,18.1818181818182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9024390243902,23.578154425612,28.1383192601528,79.219034,67.727202,17.16,20.789,43.674,44.16,20.7586763518967,23.5906714917571,76.4218455743879,71.8616807398472,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2023,42.3,NA,4.18812401471361,2.66426282051282,2.78507619548082,4.49919871794872,4.72411981082501,13.3613782051282,6.72622175512349,31.8870192307692,88.5549132947977,54.7475961538461,48.964,61.594,21.51,36.989,1.775,58.568,76.777,42.2507238844755,74.315,68.664,0.0875553853794276,1142,56,NA,136.978,220.803,0.3,0.2,110.013000488281,109.296478271484,NA,87.5125881168177,18.1818181818182,NA,NA,NA,NA,111.723243713379,110.830322265625,NA,126.988342285156,123.853897094727,NA,NA,68.1265206812652,23.4629532317394,27.8725961538462,79.257889,67.803141,16.398,19.775,42.099,42.458,20.6831318970047,23.3733974358974,76.5370467682606,72.1274038461539,68.125,NA
VCT,VC,St. Vincent and the Grenadines,2024,NA,NA,4.17444513586393,2.63602704443014,2.74320680356773,4.44301352221507,4.6100394109106,13.0070830650354,6.68429786351379,32.2400193174501,88.7056627255756,54.7528976175145,49.656,61.569,22.245,37.289,NA,59.253,76.489,42.7070767060745,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.2,NA,NA,NA,NA,21.7391304347826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.4650487450736,27.7527366387637,NA,NA,16.196,19.506,41.591,41.994,20.7218419415059,23.3097231165486,76.5349512549264,72.2472633612363,NA,NA
VCT,VC,St. Vincent and the Grenadines,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VEN,VE,"Venezuela, RB",2000,96.707,94,3.30600053264737,1.84498369048871,2.0543091082401,7.15716544379039,1.85517909894119,16.4021849805418,12.8809796168227,29.068201363941,85.2638412842361,54.5296136555172,40.916,69.505,25.024,47.388,2.79,47.914,80.46,37.82598016356,76.244,68.757,0.249897383662527,400,86,60.1,100.697,213.675,0.2,0.4,85.6735076904297,79.8365173339844,48.52823,NA,NA,48.9870910644531,48.0516395568848,0.983439981937408,1.04688000679016,99.4286422729492,100.279899597168,1.19964003562927,64.4638214111328,53.8826789855957,53.71139,53.5693,NA,40.7739168980435,40.9878107862991,83.315405,70.053909,14.605,13.616,26.441,21.728,38.7196077898034,33.8306273656431,59.2260831019565,59.0121892137009,70.625,24.6389864046728
VEN,VE,"Venezuela, RB",2001,95.776,NA,4.40557836692696,2.18266721499137,3.21137018651942,8.91421626821004,1.85815921669964,14.8810365978932,12.0195241698539,28.4656827181424,86.1223166134465,56.6532980653477,41.68,70.158,25.385,48.071,2.779,48.527,80.068,38.2731803573972,75.35,67.019,0.288899797825332,346,101,67.2,111.633,248.107,0.2,0.4,87.2809371948242,81.0485916137695,48.50748,NA,9.6969696969697,50.9440612792969,49.9748115539551,0.982729971408844,1.04188001155853,102.026840209961,102.784660339355,1.17510998249054,68.3014984130859,58.2445602416992,53.13941,53.04299,NA,41.8956621408067,38.6769673379473,82.070158,66.20923,14.109,12.377,25.696,19.855,38.6842919542873,29.7627510697373,58.1043378591933,61.3230326620527,70.625,24.8882006988273
