iso3c,iso2c,country,year,se_sec_uner_lo_zs,se_prm_uner_zs,se_xpd_totl_gd_zs,se_xpd_totl_gb_zs,sl_tlf_totl_fe_zs,sl_tlf_totl_in,se_sec_cmpt_lo_fe_zs,se_sec_cmpt_lo_ma_zs,se_sec_cmpt_lo_zs,se_sec_ages,sh_dth_1014,sh_dth_1519,sh_dth_2024,sh_dth_0509,se_prm_oenr_zs,se_prm_oenr_fe_zs,se_prm_oenr_ma_zs,sp_pop_0014_to_zs,sp_pop_1564_to_zs,se_pre_durs,se_prm_cmpt_fe_zs,se_prm_cmpt_ma_zs,se_prm_cmpt_zs,se_prm_durs,se_prm_enrl,se_prm_enrl_fe_zs,se_prm_tchr,se_prm_tchr_fe_zs,se_prm_ages,sh_dyn_1014,sh_dyn_1519,sh_dyn_0509,sh_dyn_2024,se_pre_enrr,se_pre_enrr_fe,se_pre_enrr_ma,se_prm_enrr,se_enr_prim_fm_zs,se_enr_prsc_fm_zs,se_prm_enrr_fe,se_prm_enrr_ma,se_prm_priv_zs,se_sec_enrr,se_enr_seco_fm_zs,se_sec_enrr_fe,se_sec_enrr_ma,se_sec_priv_zs,se_sec_durs,se_sec_enrl_gc,se_sec_enrl_gc_fe_zs,se_sec_enrl,se_sec_enrl_fe_zs,se_sec_tchr,se_sec_tchr_fe_zs,se_sec_tchr_fe,sl_uem_totl_fe_zs,sl_uem_totl_ma_zs,sl_uem_totl_zs
CHL,CL,Chile,2016,3.10610008239746,2.48050999641419,5.3664698600769,21.1555995941162,41.1874903516778,9146668,95.856086730957,94.5028076171875,95.1674880981445,12,185,543,873,153,6.86703,5.40204,8.2396,19.659393739765,68.7957087507807,6,97.8263931274414,98.9493789672852,98.3978424072266,6,1493732,48.3716,82980,81.2231903076172,6,0.8,2.1,0.6,3,82.3652267456055,81.4552612304688,83.2427291870117,101.585189819336,0.970820009708405,0.988529980182648,100.067169189453,103.049842834473,62.7142601013184,101.488136291504,1.00612998008728,101.831230163574,101.156860351562,61.7345085144043,6,1229882,50.04602,1530162,49.28981,81316,59.9758987426758,48770,7.464,6.549,6.926
CHL,CL,Chile,2017,3.0916600227356,2.30256009101868,5.43278980255127,21.3112392425537,41.5576750685062,9423968,95.2316513061523,94.2994689941406,94.7573394775391,12,180,527,869,151,6.55859,5.15514,7.87484,19.3360155192659,68.8509010584832,6,97.52880859375,98.7593078613281,98.1549530029297,6,1514761,48.39668,85129.6171875,81.0435791015625,6,0.8,2,0.6,3,81.763671875,81.0007019042969,82.4995727539063,101.396278381348,0.971580028533936,0.987600028514862,99.9299392700195,102.811149597168,62.8188209533691,102.294822692871,1.00381004810333,102.539222717285,102.058853149414,61.8953895568848,6,1227967,50.02919,1520724,49.24016,82797.0625,59.9803085327148,49661.9296875,7.803,6.869,7.257
CHL,CL,Chile,2018,2.29739999771118,1.90333998203278,5.473060131073,21.3660697937012,41.9209465618295,9671888,96.2566680908203,96.1976165771484,96.2266311645508,12,177,513,872,148,NA,NA,NA,19.0082501150811,68.9280916071827,6,97.6894683837891,98.5979690551758,98.1518325805664,6,1540085,NA,88050.9296875,80.8266983032227,6,0.7,2,0.6,2.9,82.1542282104492,81.398307800293,82.8833923339844,101.538017272949,0.971270024776459,0.98565000295639,100.067543029785,102.956657409668,62.5961608886719,103.173049926758,1.00041997432709,103.21607208252,103.131477355957,61.9125595092773,6,NA,NA,1522145,NA,84497,60.0198783874512,50715,8.539,6.962,7.623
CHL,CL,Chile,2019,1.78646004199982,1.60679996013641,5.62630987167358,21.2336292266846,42.1913950694728,9843775,96.6719207763672,97.3266906738281,97.0050582885742,12,177,506,885,147,NA,NA,NA,18.7029345739791,68.97100513477,6,96.9540100097656,97.9192810058594,97.4453201293945,6,1552914,NA,91681.515625,80.8030395507812,6,0.7,2,0.6,3,84.8023986816406,83.9674911499023,85.6078796386719,101.193206787109,0.97189998626709,0.982060015201569,99.7784881591797,102.557800292969,62.632511138916,104.405769348145,0.992429971694946,104.032539367676,104.766258239746,62.1873588562012,6,NA,NA,1537232,NA,87495.4609375,60.4710884094238,52909.4609375,8.226,6.958,7.493
CHL,CL,Chile,2020,2.02532005310059,2.27495002746582,5.62993001937866,19.3545894622803,40.7559829649027,8906788,98.7256698608398,100.142593383789,99.4466934204102,12,179,507,908,145,NA,NA,NA,18.4128141664409,68.9603700944275,6,97.5408630371094,98.3813171386719,97.9685821533203,6,1542099,NA,90424.453125,81.1265869140625,6,0.7,2,0.6,3.1,84.5110778808594,83.7505569458008,85.2449035644531,99.7043991088867,0.967980027198792,0.979330003261566,98.1135864257812,101.239013671875,63.036548614502,103.691688537598,0.99084997177124,103.239501953125,104.128440856934,62.7354698181152,6,NA,NA,1535283,NA,86554,60.7643814086914,52594,11.15,10.786,10.934
CHL,CL,Chile,2021,1.5762300491333,2.16669988632202,4.99923992156982,14.8808498382568,40.920646423243,9171143,99.8592834472656,103.04313659668,101.479530334473,12,181,515,938,144,NA,NA,NA,18.0965848962091,68.9469814817118,6,97.7230606079102,100.661003112793,99.2180786132812,6,1539846,NA,91385.7265625,81.4965591430664,6,0.7,2.1,0.6,3.3,NA,NA,NA,99.3652267456055,NA,NA,97.7342224121094,100.938339233398,63.0461082458496,106.673522949219,NA,106.125999450684,107.202301025391,62.7110595703125,6,NA,NA,1594942,NA,89159.390625,61.215389251709,54579.26953125,9.561,9.087,9.281
CHL,CL,Chile,2022,0.784839987754822,1.29288005828857,4.89753007888794,18.3798809051514,42.0649303754588,9670728,100.040496826172,102.424942016602,101.253898620605,12,183,524,963,143,NA,NA,NA,17.7575564797826,68.9423635045125,6,98.8135299682617,101.674461364746,100.269378662109,6,1545104,NA,93529.1171875,81.3507308959961,6,0.7,2.2,0.6,3.4,NA,NA,NA,100.192268371582,NA,NA,98.6356506347656,101.693046569824,62.9438514709473,106.068328857422,NA,105.129852294922,106.974533081055,62.7988090515137,6,NA,NA,1604309,NA,92641.203125,61.1347198486328,56635.94140625,8.814,7.839,8.249
CHL,CL,Chile,2023,1.15777003765106,1.32958996295929,NA,NA,42.7080676987401,9991796,99.487678527832,103.762580871582,101.662948608398,12,186,527,968,141,NA,NA,NA,17.3843388990243,68.922342041123,6,99.1959381103516,102.558662414551,100.907341003418,6,1526597,NA,95092.140625,80.9699401855469,6,0.7,2.2,0.6,3.5,NA,NA,NA,100.318382263184,NA,NA,98.5649566650391,102.008148193359,63.0982513427734,105.83097076416,NA,104.630210876465,106.990226745605,62.9043197631836,6,NA,NA,1621105,NA,94009,61.4515609741211,57770,9.359,8.755,9.013
CHL,CL,Chile,2024,NA,NA,NA,NA,42.8341692007765,10223511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.9661637626319,68.8987499804893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.506,8.127,8.718
CHL,CL,Chile,2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
