iso3c,iso2c,country,year,social_development_sp_ado_tfrt,social_development_sl_tlf_acti_1524_fe_zs,social_development_sl_tlf_acti_1524_ma_zs,social_development_sl_tlf_acti_1524_zs,social_development_sl_tlf_acti_fe_zs,social_development_sl_tlf_cact_fe_zs,social_development_sl_tlf_cact_ma_zs,social_development_sg_gen_parl_zs,social_development_sh_hiv_1524_fe_zs,social_development_sh_hiv_1524_ma_zs,social_development_sl_tlf_acti_ma_zs,social_development_sl_tlf_acti_zs,social_development_sp_dyn_le00_fe_in,social_development_sp_dyn_le00_ma_in,social_development_se_enr_prim_fm_zs,social_development_se_enr_prsc_fm_zs,social_development_sl_emp_vuln_fe_zs,social_development_sl_emp_vuln_ma_zs,social_development_sl_uem_totl_fe_zs,social_development_sl_uem_totl_ma_zs,infrastructure_er_h2o_fwag_zs,infrastructure_er_h2o_fwdm_zs,infrastructure_er_h2o_fwin_zs,infrastructure_er_h2o_fwtl_k3,infrastructure_er_h2o_fwtl_zs,infrastructure_is_shp_good_tu,infrastructure_eg_elc_coal_zs,infrastructure_eg_elc_hyro_zs,infrastructure_eg_elc_ngas_zs,infrastructure_eg_elc_nucl_zs,infrastructure_eg_elc_petr_zs,infrastructure_eg_use_elec_kh_pc,infrastructure_it_net_bbnd,infrastructure_it_net_bbnd_p2,infrastructure_bx_gsr_ccis_cd,infrastructure_bx_gsr_ccis_zs,infrastructure_it_mlt_main,infrastructure_it_mlt_main_p2,infrastructure_it_net_user_zs,infrastructure_is_shp_gcnw_xq,infrastructure_it_cel_sets,infrastructure_it_cel_sets_p2,infrastructure_er_h2o_intr_k3,infrastructure_er_h2o_intr_pc,infrastructure_it_net_secr,infrastructure_it_net_secr_p6
HND,HN,Honduras,2001,125.721,36.054,76.999,56.793,44.23,42.99,84.749,9.375,0.2,0.1,85.769,65.083,70.732,66.406,NA,NA,51.5246157948168,36.7936133947309,4.08,3.96,NA,NA,NA,NA,NA,406359,0,48.5838224036744,0,0,50.293442204644,499.85254497896,NA,NA,116200000,9.27143477727153,309702,4.58,1.41528,NA,237629,3.51627,90.66,13415.2254966822,NA,NA
HTI,HT,Haiti,2001,72.754,31.063,37.631,34.359,58.7,57.148,68.982,3.6144578313253,1,0.5,69.322,63.982,60.361,56.823,NA,NA,84.2153623660108,68.9173714665847,11.198,8.523,87.50685047,10.68673327,1.806416256,1.355485714,10.4212017682786,NA,0,47.6430976430976,0,0,52.3569023569024,35.83289241925,NA,NA,18000000,12.9496402877698,80000,0.946,0.340832,NA,91500,1.08208,13.007,1538.2126458653,NA,NA
JAM,JM,Jamaica,2001,71.806,35.1,48.5,41.901,61.716,57.325,75.281,13.3333333333333,1,0.9,77.967,69.751,73.217,69.384,0.992129981517792,1.00501000881195,33.3465623063405,40.6939022911869,8.829,4.912,63.39869281,28.32788671,8.273420479,1.164642857,10.7608136099048,983400,0,0.901442307692308,0,0,98.5276442307692,2321.28983239236,3235,0.123266,201300000,10.611491829204,511302,19.5,3.86302,NA,597826,22.7795,10.823,4123.98553118557,NA,NA
KNA,KN,St. Kitts and Nevis,2001,67.012,NA,NA,NA,NA,NA,NA,13.3333333333333,0.1,0.3,NA,NA,73.01,66.773,1.12426996231079,1.13663005828857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,4022222.22222222,2.21977945630084,22500,49.2,7.71473,NA,2100,4.58906,0.024,524.46406328533,NA,NA
LCA,LC,St. Lucia,2001,61.858,57.27,65.509,61.415,58.797,53.416,75.246,NA,0.1,0.1,79.831,69.267,74.086,68.714,0.954240024089813,1.04243004322052,24.9760807167087,32.1242770366495,22.904,15.347,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,9284964.81481482,3.31718536025831,50000,31.2,8.18186,NA,2700,1.685,0.3,1872.22676410567,NA,NA
MAF,MF,St. Martin (French part),2001,40.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.998,73.568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,MX,Mexico,2001,72.552,34.635,65.527,49.642,40.346,38.232,81.495,16,0.1,0.2,84.154,61.361,75.24,70.562,0.97936999797821,0.996200025081635,33.8674931576804,31.1337994675884,3.383,2.241,76.45348837,13.95348837,9.593023256,68.7809,16.8168459657702,1358136,10.7940632184982,13.3194384731854,26.020150662654,4.07779875507038,42.0023552722583,1837.79875980702,50000,0.0499505,787198737,6.32508985348116,13774100,13.8,7.03802,NA,21757600,21.736,409,4085.95086355373,NA,NA
NIC,NI,Nicaragua,2001,111.467,27.394,72.891,49.881,38.262,36.72,86.094,NA,NA,NA,87.473,62.197,70.054,63.963,1.01872003078461,1.06700003147125,49.0769840124081,38.9858299595142,7.5,7.067,81.9745343,14.76236317,3.263102528,1.438171429,0.920665404903655,NA,0,7.81746031746032,0,0,80.1984126984127,347.496228742144,1604,0.0315262,24300000,7.32810615199035,157753,3.1,1.4488,NA,164509,3.23339,156.21,30702.7069523814,NA,NA
PAN,PA,Panama,2001,92.783,35.365,63.039,49.442,48.957,45.634,81.123,9.85915492957746,0.2,0.7,84.269,66.688,77.073,70.747,0.966780006885529,1.00603997707367,27.3063051517703,32.8229397272459,8.521,5.155,NA,NA,NA,NA,NA,2376045,0,48.7704918032787,0,0,50.7806401249024,1297.58983195185,7771,0.253165,42900000,2.14671737389912,381912,12.4,7.2684,NA,475141,15.4792,136.6,44501.8255196142,NA,NA
PER,PE,Peru,2001,69.627,51.133,66.694,58.986,60.727,58.578,79.118,18.3333333333333,0.1,0.1,80.962,70.827,72.113,68.59,1.00353002548218,0.981959998607636,63.5646230882111,46.1276849803845,5.109,5.029,NA,NA,NA,NA,NA,537554,1.49196265280585,84.7338531138704,4.20637212436231,0,8.7785157377996,687.642290720341,NA,NA,67151654.2503095,5.9358123230734,1570960,5.83,7.57876,NA,1793280,6.65051,1641,60857.5665554999,NA,NA
PRI,PR,Puerto Rico (US),2001,68.764,26.175,40.003,33.19,41.506,35.359,58.055,NA,NA,NA,65.641,53.073,79.867,72.067,NA,NA,6.06297941057731,14.1058559592389,9.19,12.906,3.028810012,19.01349073,77.95769926,0.8848,12.4619718309859,1886028,0,0.53582638328401,12.7104743969151,0,86.7536992198009,NA,2427,0.0636505,NA,NA,1288440,33.8,15.63,NA,1628160,42.7001,7.1,1859.23545095887,NA,NA
PRY,PY,Paraguay,2001,77.086,46.155,78.041,62.399,53.592,51.612,86.115,2.5,0.1,0.1,88.125,71.027,72.559,68.106,0.970770001411438,0.991020023822784,51.7076745396364,47.4682055508065,7.227,5.597,72.89615092,18.84642882,8.257420262,0.656984849,0.561525511965812,NA,0,100,0,0,0.00105920515479842,910.810189276959,300,0.00578292,10800000,4.68485663471132,288818,5.57,1.09879,NA,1150000,22.1679,117,22553.3951630485,NA,NA
SLV,SV,El Salvador,2001,99.147,32.216,62.43,46.91,47.638,45.176,78.981,9.52380952380952,0.2,0.4,81.586,63.598,72.505,63.382,0.960280001163483,0.958039999008179,45.8467725579051,32.4382433239619,5.215,8.102,58.66222316,26.11000315,15.2277737,1.52424,9.75201535508637,NA,0,29.4907524702306,0,0,45.6042563972637,624.658599276817,NA,NA,95500000,7.84201018229594,649879,10.9,1.5,NA,857782,14.3729,15.63,2618.94149857743,NA,NA
SUR,SR,Suriname,2001,84.954,14.715,38.239,26.871,36.692,34.072,61.115,17.6470588235294,0.7,0.7,65.19,51.185,68.025,61.931,1.0081000328064,1.07254004478455,12.2492757469205,20.3724635340976,18.603,8.62,89.03653647,5.025341032,5.938122494,0.660983333,0.667659932323232,NA,0,86.6396761133603,0,0,13.3603238866397,2310.09536336731,NA,NA,NA,NA,77366,15.9,3.06445,NA,87000,17.8806,99,203469.253535021,NA,NA
SXM,SX,Sint Maarten (Dutch part),2001,38.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.763,72.326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCA,TC,Turks and Caicos Islands,2001,19.084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76.566,72.541,1.00673997402191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,NA,NA,3822,19.5,NA,NA,NA,NA,NA,NA,NA,NA
TTO,TT,Trinidad and Tobago,2001,39.684,41.545,59.383,50.598,52.475,48.845,77.77,11.1111111111111,NA,NA,81.447,66.892,71.615,66.128,0.980669975280762,NA,16.27178327007,18.5637348079027,14.38,8.606,5.184259838,62.83572767,31.98001249,0.3202,8.33854166666667,352758,0,0,99.4153082919915,0,0.0531537916371368,3934.91992483217,NA,NA,29800001.5936127,5.16196085310391,311842,23.5,15.3846,NA,256106,19.3205,3.84,2896.87356429362,NA,NA
URY,UY,Uruguay,2001,66.866,51.838,67.022,59.527,62.274,51.227,72.857,12.1212121212121,NA,NA,82.382,72.2,79.124,70.943,0.978559970855713,1.04951000213623,21.9374284753241,26.8427803543107,19.842,11.367,86.08403846,11.11134263,2.80461891,3.694517838,4.00706923861171,301641,0,99.3945945945946,0,0,0.205405405405405,1990.68428168763,NA,NA,43973264.9732643,3.91728646005881,950866,29,11.1214,NA,519991,15.8812,92.2,28159.1118090824,NA,NA
VCT,VC,St. Vincent and the Grenadines,2001,74.035,40.145,69.481,55.294,53.812,48.447,78.025,NA,0.5,0.3,82.959,68.977,73.172,67.859,0.952499985694885,1.0223400592804,18.8163481953291,21.8319161231734,18.588,22.586,55.46521526,NA,NA,0.0097,9.7,NA,0,18.3112919633774,0,0,81.6887080366226,NA,81,0.071365,9715555.55555556,6.51895525544536,26078,23,5.09481,NA,7492,6.60082,0.1,881.049506171752,NA,NA
VEN,VE,"Venezuela, RB",2001,95.776,34.265,59.999,47.296,51.464,48.568,80.056,9.6969696969697,0.2,0.4,82.479,66.918,75.35,67.019,0.982729971408844,1.04188001155853,39.9407739615728,30.9262251550865,14.108,12.377,52.40511416,41.21268512,6.382200725,11.04334,1.37184347826087,924119,0,67.0679878826884,21.8422308281273,0,11.0897812891843,2695.9251514076,36636,0.146662,73000000,5.28985507246377,2704920,10.8,4.636,NA,6472580,25.9111,805,32225.8812497493,NA,NA
VGB,VG,British Virgin Islands,2001,36.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.354,72.745,1.00002002716064,1.02453994750977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,100,NA,NA,NA,NA,NA,10500,50.5,NA,NA,NA,NA,NA,NA,NA,NA
